item_name,description,category
coffee grounds,used in coffee maker,Organic
vegetable peels,from cooking prep,Organic
used bread crust,stale leftover,Organic
used orange peel,after eating fruit,Organic
used tea leaves,used after brewing,Organic
coffee grounds,used in coffee maker,Organic
banana peel,from fruit waste,Organic
bread crust,stale leftover,Organic
orange peel,after eating fruit,Organic
lettuce scraps,from salad preparation,Organic
corn husk,removed before cooking at home,Organic
corn husk,removed before cooking,Organic
used orange peel,after eating fruit,Organic
apple core,leftover from eating,Organic
bread crust,stale leftover,Organic
coffee grounds,used in coffee maker,Organic
orange peel,after eating fruit at home,Organic
used egg shells,broken during cooking,Organic
orange peel,after eating fruit,Organic
corn husk,removed before cooking at home,Organic
corn husk,removed before cooking,Organic
orange peel,after eating fruit,Organic
coffee grounds,used in coffee maker at home,Organic
coffee grounds,used in coffee maker,Organic
used bread crust,stale leftover,Organic
used banana peel,from fruit waste at home,Organic
banana peel,from fruit waste,Organic
apple core,leftover from eating,Organic
used lettuce scraps,from salad preparation,Organic
egg shells,broken during cooking,Organic
used coffee grounds,used in coffee maker at home,Organic
vegetable peels,from cooking prep,Organic
used apple core,leftover from eating at home,Organic
corn husk,removed before cooking,Organic
tea leaves,used after brewing,Organic
used vegetable peels,from cooking prep,Organic
tea leaves,used after brewing at home,Organic
used coffee grounds,used in coffee maker at home,Organic
tea leaves,used after brewing,Organic
orange peel,after eating fruit,Organic
used lettuce scraps,from salad preparation,Organic
vegetable peels,from cooking prep at home,Organic
used banana peel,from fruit waste,Organic
corn husk,removed before cooking,Organic
used corn husk,removed before cooking,Organic
banana peel,from fruit waste,Organic
apple core,leftover from eating,Organic
corn husk,removed before cooking,Organic
vegetable peels,from cooking prep at home,Organic
used apple core,leftover from eating at home,Organic
lettuce scraps,from salad preparation,Organic
apple core,leftover from eating at home,Organic
used egg shells,broken during cooking at home,Organic
egg shells,broken during cooking,Organic
vegetable peels,from cooking prep at home,Organic
used apple core,leftover from eating,Organic
corn husk,removed before cooking,Organic
vegetable peels,from cooking prep at home,Organic
lettuce scraps,from salad preparation,Organic
tea leaves,used after brewing,Organic
used corn husk,removed before cooking,Organic
lettuce scraps,from salad preparation at home,Organic
used lettuce scraps,from salad preparation,Organic
used vegetable peels,from cooking prep,Organic
tea leaves,used after brewing at home,Organic
tea leaves,used after brewing,Organic
orange peel,after eating fruit at home,Organic
used apple core,leftover from eating,Organic
corn husk,removed before cooking,Organic
banana peel,from fruit waste,Organic
used coffee grounds,used in coffee maker at home,Organic
egg shells,broken during cooking,Organic
bread crust,stale leftover at home,Organic
tea leaves,used after brewing,Organic
corn husk,removed before cooking,Organic
orange peel,after eating fruit,Organic
used coffee grounds,used in coffee maker at home,Organic
banana peel,from fruit waste at home,Organic
tea leaves,used after brewing,Organic
used lettuce scraps,from salad preparation at home,Organic
tea leaves,used after brewing,Organic
used vegetable peels,from cooking prep,Organic
lettuce scraps,from salad preparation,Organic
orange peel,after eating fruit,Organic
banana peel,from fruit waste at home,Organic
used lettuce scraps,from salad preparation,Organic
orange peel,after eating fruit,Organic
used vegetable peels,from cooking prep,Organic
banana peel,from fruit waste,Organic
used apple core,leftover from eating,Organic
bread crust,stale leftover,Organic
used egg shells,broken during cooking at home,Organic
orange peel,after eating fruit at home,Organic
bread crust,stale leftover at home,Organic
egg shells,broken during cooking at home,Organic
orange peel,after eating fruit,Organic
vegetable peels,from cooking prep,Organic
used lettuce scraps,from salad preparation,Organic
used corn husk,removed before cooking,Organic
orange peel,after eating fruit,Organic
banana peel,from fruit waste,Organic
corn husk,removed before cooking,Organic
used orange peel,after eating fruit,Organic
tea leaves,used after brewing at home,Organic
used tea leaves,used after brewing,Organic
banana peel,from fruit waste at home,Organic
used vegetable peels,from cooking prep at home,Organic
banana peel,from fruit waste,Organic
tea leaves,used after brewing,Organic
coffee grounds,used in coffee maker,Organic
used corn husk,removed before cooking at home,Organic
used banana peel,from fruit waste,Organic
used lettuce scraps,from salad preparation at home,Organic
banana peel,from fruit waste at home,Organic
used coffee grounds,used in coffee maker at home,Organic
corn husk,removed before cooking,Organic
apple core,leftover from eating,Organic
lettuce scraps,from salad preparation,Organic
vegetable peels,from cooking prep,Organic
used vegetable peels,from cooking prep at home,Organic
tea leaves,used after brewing,Organic
bread crust,stale leftover,Organic
corn husk,removed before cooking,Organic
bread crust,stale leftover at home,Organic
egg shells,broken during cooking,Organic
used lettuce scraps,from salad preparation,Organic
orange peel,after eating fruit,Organic
orange peel,after eating fruit,Organic
corn husk,removed before cooking,Organic
apple core,leftover from eating at home,Organic
corn husk,removed before cooking,Organic
coffee grounds,used in coffee maker at home,Organic
apple core,leftover from eating,Organic
used lettuce scraps,from salad preparation,Organic
egg shells,broken during cooking at home,Organic
used vegetable peels,from cooking prep at home,Organic
orange peel,after eating fruit,Organic
tea leaves,used after brewing,Organic
tea leaves,used after brewing,Organic
used apple core,leftover from eating at home,Organic
coffee grounds,used in coffee maker,Organic
lettuce scraps,from salad preparation at home,Organic
bread crust,stale leftover,Organic
tea leaves,used after brewing,Organic
used bread crust,stale leftover,Organic
banana peel,from fruit waste,Organic
vegetable peels,from cooking prep,Organic
vegetable peels,from cooking prep,Organic
apple core,leftover from eating at home,Organic
bread crust,stale leftover,Organic
lettuce scraps,from salad preparation,Organic
coffee grounds,used in coffee maker,Organic
orange peel,after eating fruit,Organic
tea leaves,used after brewing at home,Organic
orange peel,after eating fruit,Organic
used egg shells,broken during cooking,Organic
bread crust,stale leftover,Organic
used coffee grounds,used in coffee maker,Organic
egg shells,broken during cooking,Organic
used apple core,leftover from eating,Organic
egg shells,broken during cooking,Organic
vegetable peels,from cooking prep,Organic
orange peel,after eating fruit,Organic
apple core,leftover from eating at home,Organic
banana peel,from fruit waste at home,Organic
coffee grounds,used in coffee maker,Organic
bread crust,stale leftover,Organic
tea leaves,used after brewing,Organic
used orange peel,after eating fruit at home,Organic
used tea leaves,used after brewing at home,Organic
used tea leaves,used after brewing,Organic
used corn husk,removed before cooking,Organic
tea leaves,used after brewing at home,Organic
corn husk,removed before cooking at home,Organic
orange peel,after eating fruit at home,Organic
coffee grounds,used in coffee maker at home,Organic
used banana peel,from fruit waste,Organic
bread crust,stale leftover at home,Organic
vegetable peels,from cooking prep at home,Organic
apple core,leftover from eating,Organic
used apple core,leftover from eating,Organic
used lettuce scraps,from salad preparation,Organic
lettuce scraps,from salad preparation at home,Organic
egg shells,broken during cooking at home,Organic
vegetable peels,from cooking prep,Organic
used tea leaves,used after brewing,Organic
used lettuce scraps,from salad preparation,Organic
used banana peel,from fruit waste at home,Organic
coffee grounds,used in coffee maker,Organic
used banana peel,from fruit waste,Organic
used apple core,leftover from eating at home,Organic
lettuce scraps,from salad preparation,Organic
coffee grounds,used in coffee maker,Organic
orange peel,after eating fruit,Organic
used orange peel,after eating fruit,Organic
apple core,leftover from eating,Organic
used orange peel,after eating fruit,Organic
tea leaves,used after brewing,Organic
lettuce scraps,from salad preparation,Organic
used orange peel,after eating fruit,Organic
bread crust,stale leftover,Organic
egg shells,broken during cooking,Organic
used vegetable peels,from cooking prep,Organic
orange peel,after eating fruit,Organic
used banana peel,from fruit waste,Organic
used orange peel,after eating fruit at home,Organic
used corn husk,removed before cooking,Organic
lettuce scraps,from salad preparation,Organic
corn husk,removed before cooking,Organic
bread crust,stale leftover,Organic
bread crust,stale leftover,Organic
egg shells,broken during cooking,Organic
vegetable peels,from cooking prep,Organic
vegetable peels,from cooking prep,Organic
used coffee grounds,used in coffee maker at home,Organic
used coffee grounds,used in coffee maker at home,Organic
banana peel,from fruit waste,Organic
apple core,leftover from eating,Organic
used lettuce scraps,from salad preparation,Organic
vegetable peels,from cooking prep,Organic
apple core,leftover from eating,Organic
corn husk,removed before cooking,Organic
bread crust,stale leftover,Organic
banana peel,from fruit waste,Organic
lettuce scraps,from salad preparation,Organic
corn husk,removed before cooking,Organic
bread crust,stale leftover,Organic
corn husk,removed before cooking,Organic
egg shells,broken during cooking,Organic
bread crust,stale leftover,Organic
used lettuce scraps,from salad preparation,Organic
used corn husk,removed before cooking,Organic
used bread crust,stale leftover,Organic
tea leaves,used after brewing,Organic
used bread crust,stale leftover,Organic
apple core,leftover from eating at home,Organic
vegetable peels,from cooking prep at home,Organic
banana peel,from fruit waste,Organic
used lettuce scraps,from salad preparation,Organic
lettuce scraps,from salad preparation at home,Organic
used bread crust,stale leftover at home,Organic
egg shells,broken during cooking at home,Organic
corn husk,removed before cooking,Organic
apple core,leftover from eating,Organic
corn husk,removed before cooking,Organic
vegetable peels,from cooking prep,Organic
used corn husk,removed before cooking at home,Organic
corn husk,removed before cooking,Organic
used tea leaves,used after brewing,Organic
used apple core,leftover from eating,Organic
vegetable peels,from cooking prep,Organic
lettuce scraps,from salad preparation,Organic
apple core,leftover from eating at home,Organic
apple core,leftover from eating,Organic
lettuce scraps,from salad preparation,Organic
corn husk,removed before cooking,Organic
used banana peel,from fruit waste at home,Organic
corn husk,removed before cooking,Organic
used tea leaves,used after brewing,Organic
egg shells,broken during cooking at home,Organic
orange peel,after eating fruit,Organic
used apple core,leftover from eating,Organic
bread crust,stale leftover,Organic
used banana peel,from fruit waste,Organic
coffee grounds,used in coffee maker at home,Organic
orange peel,after eating fruit,Organic
tea leaves,used after brewing,Organic
orange peel,after eating fruit,Organic
vegetable peels,from cooking prep,Organic
orange peel,after eating fruit,Organic
used bread crust,stale leftover,Organic
vegetable peels,from cooking prep,Organic
used coffee grounds,used in coffee maker,Organic
vegetable peels,from cooking prep at home,Organic
corn husk,removed before cooking at home,Organic
apple core,leftover from eating,Organic
bread crust,stale leftover at home,Organic
vegetable peels,from cooking prep,Organic
used egg shells,broken during cooking,Organic
tea leaves,used after brewing,Organic
banana peel,from fruit waste at home,Organic
used corn husk,removed before cooking at home,Organic
used orange peel,after eating fruit,Organic
used banana peel,from fruit waste,Organic
apple core,leftover from eating,Organic
vegetable peels,from cooking prep,Organic
tea leaves,used after brewing,Organic
corn husk,removed before cooking,Organic
orange peel,after eating fruit at home,Organic
used orange peel,after eating fruit,Organic
banana peel,from fruit waste at home,Organic
used vegetable peels,from cooking prep,Organic
used vegetable peels,from cooking prep,Organic
banana peel,from fruit waste,Organic
used egg shells,broken during cooking,Organic
corn husk,removed before cooking,Organic
vegetable peels,from cooking prep,Organic
bread crust,stale leftover,Organic
egg shells,broken during cooking,Organic
used tea leaves,used after brewing,Organic
used bread crust,stale leftover at home,Organic
used vegetable peels,from cooking prep,Organic
used tea leaves,used after brewing at home,Organic
corn husk,removed before cooking at home,Organic
banana peel,from fruit waste at home,Organic
tea leaves,used after brewing,Organic
corn husk,removed before cooking,Organic
used banana peel,from fruit waste,Organic
egg shells,broken during cooking,Organic
vegetable peels,from cooking prep at home,Organic
used bread crust,stale leftover,Organic
coffee grounds,used in coffee maker,Organic
vegetable peels,from cooking prep,Organic
used corn husk,removed before cooking,Organic
tea leaves,used after brewing,Organic
vegetable peels,from cooking prep at home,Organic
tea leaves,used after brewing,Organic
vegetable peels,from cooking prep,Organic
lettuce scraps,from salad preparation,Organic
vegetable peels,from cooking prep at home,Organic
lettuce scraps,from salad preparation,Organic
used bread crust,stale leftover at home,Organic
orange peel,after eating fruit,Organic
orange peel,after eating fruit,Organic
bread crust,stale leftover,Organic
apple core,leftover from eating at home,Organic
used tea leaves,used after brewing at home,Organic
lettuce scraps,from salad preparation,Organic
banana peel,from fruit waste,Organic
used bread crust,stale leftover,Organic
lettuce scraps,from salad preparation at home,Organic
banana peel,from fruit waste,Organic
coffee grounds,used in coffee maker,Organic
orange peel,after eating fruit at home,Organic
used apple core,leftover from eating,Organic
used egg shells,broken during cooking,Organic
egg shells,broken during cooking at home,Organic
coffee grounds,used in coffee maker,Organic
lettuce scraps,from salad preparation,Organic
used bread crust,stale leftover,Organic
vegetable peels,from cooking prep,Organic
egg shells,broken during cooking at home,Organic
coffee grounds,used in coffee maker at home,Organic
lettuce scraps,from salad preparation,Organic
coffee grounds,used in coffee maker at home,Organic
used apple core,leftover from eating,Organic
orange peel,after eating fruit,Organic
banana peel,from fruit waste,Organic
orange peel,after eating fruit,Organic
used egg shells,broken during cooking at home,Organic
tea leaves,used after brewing,Organic
lettuce scraps,from salad preparation,Organic
lettuce scraps,from salad preparation,Organic
orange peel,after eating fruit,Organic
banana peel,from fruit waste,Organic
coffee grounds,used in coffee maker,Organic
coffee grounds,used in coffee maker,Organic
vegetable peels,from cooking prep,Organic
used vegetable peels,from cooking prep,Organic
egg shells,broken during cooking,Organic
banana peel,from fruit waste,Organic
corn husk,removed before cooking,Organic
egg shells,broken during cooking at home,Organic
tea leaves,used after brewing,Organic
orange peel,after eating fruit at home,Organic
vegetable peels,from cooking prep,Organic
apple core,leftover from eating,Organic
bread crust,stale leftover,Organic
used bread crust,stale leftover,Organic
bread crust,stale leftover,Organic
used bread crust,stale leftover,Organic
orange peel,after eating fruit at home,Organic
orange peel,after eating fruit,Organic
bread crust,stale leftover,Organic
lettuce scraps,from salad preparation,Organic
glass jar,jam container,Recyclable
used aluminum can,soda container,Recyclable
glass jar,jam container,Recyclable
glass jar,jam container at home,Recyclable
used yogurt cup,cleaned plastic cup,Recyclable
aluminum can,soda container at home,Recyclable
glass jar,jam container,Recyclable
used milk carton,empty dairy container,Recyclable
newspaper,daily paper,Recyclable
newspaper,daily paper,Recyclable
plastic bottle,used water bottle,Recyclable
aluminum can,soda container,Recyclable
used plastic bottle,used water bottle at home,Recyclable
paper sheet,used for notes,Recyclable
used milk carton,empty dairy container at home,Recyclable
used glass jar,jam container,Recyclable
used aluminum can,soda container,Recyclable
used magazine,old reading material,Recyclable
newspaper,daily paper,Recyclable
used glass jar,jam container at home,Recyclable
plastic bottle,used water bottle at home,Recyclable
glass jar,jam container,Recyclable
plastic bottle,used water bottle,Recyclable
aluminum can,soda container at home,Recyclable
magazine,old reading material,Recyclable
used newspaper,daily paper,Recyclable
milk carton,empty dairy container,Recyclable
yogurt cup,cleaned plastic cup at home,Recyclable
tin can,food container,Recyclable
used glass jar,jam container,Recyclable
cardboard box,shipping package,Recyclable
used yogurt cup,cleaned plastic cup at home,Recyclable
tin can,food container at home,Recyclable
yogurt cup,cleaned plastic cup,Recyclable
used milk carton,empty dairy container at home,Recyclable
milk carton,empty dairy container,Recyclable
paper sheet,used for notes at home,Recyclable
aluminum can,soda container,Recyclable
milk carton,empty dairy container at home,Recyclable
used aluminum can,soda container at home,Recyclable
milk carton,empty dairy container at home,Recyclable
used glass jar,jam container,Recyclable
yogurt cup,cleaned plastic cup,Recyclable
cardboard box,shipping package at home,Recyclable
yogurt cup,cleaned plastic cup,Recyclable
magazine,old reading material at home,Recyclable
milk carton,empty dairy container,Recyclable
plastic bottle,used water bottle at home,Recyclable
tin can,food container,Recyclable
used aluminum can,soda container,Recyclable
cardboard box,shipping package,Recyclable
yogurt cup,cleaned plastic cup,Recyclable
paper sheet,used for notes,Recyclable
aluminum can,soda container,Recyclable
milk carton,empty dairy container,Recyclable
paper sheet,used for notes,Recyclable
used newspaper,daily paper at home,Recyclable
milk carton,empty dairy container,Recyclable
paper sheet,used for notes at home,Recyclable
aluminum can,soda container,Recyclable
yogurt cup,cleaned plastic cup,Recyclable
glass jar,jam container at home,Recyclable
plastic bottle,used water bottle,Recyclable
used yogurt cup,cleaned plastic cup,Recyclable
cardboard box,shipping package,Recyclable
yogurt cup,cleaned plastic cup,Recyclable
plastic bottle,used water bottle,Recyclable
milk carton,empty dairy container at home,Recyclable
used tin can,food container,Recyclable
aluminum can,soda container,Recyclable
magazine,old reading material,Recyclable
newspaper,daily paper at home,Recyclable
glass jar,jam container,Recyclable
used aluminum can,soda container,Recyclable
used cardboard box,shipping package,Recyclable
milk carton,empty dairy container,Recyclable
aluminum can,soda container,Recyclable
paper sheet,used for notes at home,Recyclable
aluminum can,soda container,Recyclable
milk carton,empty dairy container,Recyclable
newspaper,daily paper,Recyclable
used paper sheet,used for notes,Recyclable
used newspaper,daily paper at home,Recyclable
paper sheet,used for notes,Recyclable
used milk carton,empty dairy container at home,Recyclable
milk carton,empty dairy container,Recyclable
used tin can,food container,Recyclable
glass jar,jam container,Recyclable
yogurt cup,cleaned plastic cup at home,Recyclable
used magazine,old reading material at home,Recyclable
magazine,old reading material at home,Recyclable
magazine,old reading material at home,Recyclable
milk carton,empty dairy container,Recyclable
used milk carton,empty dairy container,Recyclable
newspaper,daily paper,Recyclable
used magazine,old reading material,Recyclable
glass jar,jam container at home,Recyclable
paper sheet,used for notes,Recyclable
newspaper,daily paper at home,Recyclable
paper sheet,used for notes,Recyclable
paper sheet,used for notes,Recyclable
aluminum can,soda container,Recyclable
aluminum can,soda container at home,Recyclable
plastic bottle,used water bottle,Recyclable
plastic bottle,used water bottle,Recyclable
used glass jar,jam container at home,Recyclable
used newspaper,daily paper at home,Recyclable
cardboard box,shipping package,Recyclable
plastic bottle,used water bottle,Recyclable
newspaper,daily paper,Recyclable
used milk carton,empty dairy container,Recyclable
aluminum can,soda container,Recyclable
yogurt cup,cleaned plastic cup,Recyclable
cardboard box,shipping package at home,Recyclable
glass jar,jam container at home,Recyclable
used magazine,old reading material,Recyclable
used magazine,old reading material at home,Recyclable
magazine,old reading material at home,Recyclable
paper sheet,used for notes,Recyclable
magazine,old reading material,Recyclable
cardboard box,shipping package,Recyclable
glass jar,jam container,Recyclable
tin can,food container,Recyclable
glass jar,jam container,Recyclable
tin can,food container,Recyclable
magazine,old reading material at home,Recyclable
used aluminum can,soda container,Recyclable
cardboard box,shipping package at home,Recyclable
used cardboard box,shipping package,Recyclable
newspaper,daily paper,Recyclable
used yogurt cup,cleaned plastic cup,Recyclable
used magazine,old reading material at home,Recyclable
paper sheet,used for notes,Recyclable
newspaper,daily paper at home,Recyclable
plastic bottle,used water bottle,Recyclable
used tin can,food container,Recyclable
tin can,food container,Recyclable
used yogurt cup,cleaned plastic cup at home,Recyclable
milk carton,empty dairy container at home,Recyclable
cardboard box,shipping package at home,Recyclable
