item_name,description,category
syringe,used medical needle,Hazardous
bleach bottle,chlorine cleaning agent,Hazardous
used fluorescent bulb,contains mercury,Hazardous
fluorescent bulb,contains mercury,Hazardous
used bleach bottle,chlorine cleaning agent,Hazardous
rat poison,used in pest control,Hazardous
rat poison,used in pest control,Hazardous
herbicide,weed killer,Hazardous
paint can,leftover wall paint at home,Hazardous
chemical cleaner,industrial cleaner,Hazardous
chemical cleaner,industrial cleaner,Hazardous
used herbicide,weed killer,Hazardous
rat poison,used in pest control,Hazardous
bleach bottle,chlorine cleaning agent at home,Hazardous
used battery,used AA battery,Hazardous
used chemical cleaner,industrial cleaner,Hazardous
battery,used AA battery,Hazardous
herbicide,weed killer at home,Hazardous
herbicide,weed killer at home,Hazardous
bleach bottle,chlorine cleaning agent,Hazardous
insecticide bottle,pest control container at home,Hazardous
bleach bottle,chlorine cleaning agent,Hazardous
chemical cleaner,industrial cleaner,Hazardous
herbicide,weed killer at home,Hazardous
used insecticide bottle,pest control container,Hazardous
herbicide,weed killer at home,Hazardous
used bleach bottle,chlorine cleaning agent,Hazardous
battery,used AA battery,Hazardous
used chemical cleaner,industrial cleaner at home,Hazardous
paint can,leftover wall paint,Hazardous
syringe,used medical needle,Hazardous
chemical cleaner,industrial cleaner,Hazardous
nail polish remover,contains acetone,Hazardous
used bleach bottle,chlorine cleaning agent,Hazardous
insecticide bottle,pest control container,Hazardous
paint can,leftover wall paint at home,Hazardous
paint can,leftover wall paint,Hazardous
bleach bottle,chlorine cleaning agent at home,Hazardous
used nail polish remover,contains acetone,Hazardous
battery,used AA battery,Hazardous
paint can,leftover wall paint,Hazardous
used syringe,used medical needle,Hazardous
nail polish remover,contains acetone at home,Hazardous
fluorescent bulb,contains mercury,Hazardous
used bleach bottle,chlorine cleaning agent,Hazardous
paint can,leftover wall paint,Hazardous
nail polish remover,contains acetone at home,Hazardous
nail polish remover,contains acetone,Hazardous
herbicide,weed killer,Hazardous
used bleach bottle,chlorine cleaning agent,Hazardous
syringe,used medical needle,Hazardous
herbicide,weed killer at home,Hazardous
fluorescent bulb,contains mercury,Hazardous
battery,used AA battery,Hazardous
used paint can,leftover wall paint,Hazardous
insecticide bottle,pest control container at home,Hazardous
used battery,used AA battery,Hazardous
bleach bottle,chlorine cleaning agent,Hazardous
fluorescent bulb,contains mercury,Hazardous
used paint can,leftover wall paint,Hazardous
syringe,used medical needle,Hazardous
used battery,used AA battery,Hazardous
chemical cleaner,industrial cleaner at home,Hazardous
fluorescent bulb,contains mercury,Hazardous
battery,used AA battery,Hazardous
used nail polish remover,contains acetone at home,Hazardous
paint can,leftover wall paint at home,Hazardous
rat poison,used in pest control at home,Hazardous
used rat poison,used in pest control,Hazardous
battery,used AA battery at home,Hazardous
chemical cleaner,industrial cleaner,Hazardous
nail polish remover,contains acetone,Hazardous
chemical cleaner,industrial cleaner,Hazardous
bleach bottle,chlorine cleaning agent,Hazardous
bleach bottle,chlorine cleaning agent,Hazardous
used paint can,leftover wall paint,Hazardous
rat poison,used in pest control,Hazardous
insecticide bottle,pest control container,Hazardous
used paint can,leftover wall paint at home,Hazardous
battery,used AA battery at home,Hazardous
syringe,used medical needle,Hazardous
battery,used AA battery,Hazardous
paint can,leftover wall paint,Hazardous
chemical cleaner,industrial cleaner,Hazardous
used herbicide,weed killer,Hazardous
herbicide,weed killer,Hazardous
herbicide,weed killer,Hazardous
nail polish remover,contains acetone,Hazardous
syringe,used medical needle,Hazardous
paint can,leftover wall paint,Hazardous
used bleach bottle,chlorine cleaning agent at home,Hazardous
nail polish remover,contains acetone at home,Hazardous
used bleach bottle,chlorine cleaning agent,Hazardous
herbicide,weed killer at home,Hazardous
fluorescent bulb,contains mercury,Hazardous
fluorescent bulb,contains mercury,Hazardous
rat poison,used in pest control,Hazardous
nail polish remover,contains acetone,Hazardous
fluorescent bulb,contains mercury at home,Hazardous
syringe,used medical needle,Hazardous
nail polish remover,contains acetone,Hazardous
herbicide,weed killer,Hazardous
battery,used AA battery,Hazardous
insecticide bottle,pest control container,Hazardous
nail polish remover,contains acetone,Hazardous
paint can,leftover wall paint at home,Hazardous
cotton swab,used in cleaning at home,General Waste
styrofoam cup,from beverage,General Waste
used tissue paper,soiled after use,General Waste
rubber glove,used during cleaning,General Waste
diaper,used disposable diaper at home,General Waste
diaper,used disposable diaper,General Waste
cotton swab,used in cleaning at home,General Waste
diaper,used disposable diaper,General Waste
ceramic plate,broken dish,General Waste
used styrofoam cup,from beverage,General Waste
diaper,used disposable diaper,General Waste
tissue paper,soiled after use,General Waste
used tissue paper,soiled after use,General Waste
used diaper,used disposable diaper at home,General Waste
broken toy,plastic item not working,General Waste
cotton swab,used in cleaning,General Waste
plastic wrap,used food wrap,General Waste
tissue paper,soiled after use,General Waste
tissue paper,soiled after use,General Waste
sponge,used for cleaning at home,General Waste
used cotton swab,used in cleaning,General Waste
ceramic plate,broken dish,General Waste
styrofoam cup,from beverage,General Waste
used tissue paper,soiled after use at home,General Waste
chip bag,aluminum lining inside,General Waste
rubber glove,used during cleaning,General Waste
used plastic wrap,used food wrap,General Waste
used cotton swab,used in cleaning,General Waste
used sponge,used for cleaning,General Waste
ceramic plate,broken dish,General Waste
used sponge,used for cleaning,General Waste
diaper,used disposable diaper,General Waste
used diaper,used disposable diaper,General Waste
used ceramic plate,broken dish,General Waste
ceramic plate,broken dish,General Waste
cotton swab,used in cleaning,General Waste
used plastic wrap,used food wrap,General Waste
used styrofoam cup,from beverage,General Waste
rubber glove,used during cleaning,General Waste
plastic wrap,used food wrap,General Waste
cotton swab,used in cleaning at home,General Waste
chip bag,aluminum lining inside,General Waste
ceramic plate,broken dish,General Waste
used chip bag,aluminum lining inside at home,General Waste
broken toy,plastic item not working,General Waste
plastic wrap,used food wrap,General Waste
chip bag,aluminum lining inside,General Waste
styrofoam cup,from beverage,General Waste
broken toy,plastic item not working,General Waste
used plastic wrap,used food wrap,General Waste
sponge,used for cleaning,General Waste
used ceramic plate,broken dish,General Waste
used chip bag,aluminum lining inside,General Waste
tissue paper,soiled after use at home,General Waste
used cotton swab,used in cleaning at home,General Waste
used styrofoam cup,from beverage at home,General Waste
plastic wrap,used food wrap,General Waste
cotton swab,used in cleaning,General Waste
used ceramic plate,broken dish,General Waste
chip bag,aluminum lining inside at home,General Waste
cotton swab,used in cleaning,General Waste
used cotton swab,used in cleaning at home,General Waste
tissue paper,soiled after use at home,General Waste
plastic wrap,used food wrap,General Waste
tissue paper,soiled after use,General Waste
sponge,used for cleaning,General Waste
rubber glove,used during cleaning at home,General Waste
cotton swab,used in cleaning,General Waste
plastic wrap,used food wrap,General Waste
used styrofoam cup,from beverage,General Waste
chip bag,aluminum lining inside,General Waste
chip bag,aluminum lining inside,General Waste
used cotton swab,used in cleaning at home,General Waste
diaper,used disposable diaper,General Waste
rubber glove,used during cleaning,General Waste
rubber glove,used during cleaning,General Waste
tissue paper,soiled after use,General Waste
diaper,used disposable diaper,General Waste
used tissue paper,soiled after use at home,General Waste
used sponge,used for cleaning,General Waste
rubber glove,used during cleaning at home,General Waste
tissue paper,soiled after use,General Waste
tissue paper,soiled after use,General Waste
tissue paper,soiled after use at home,General Waste
plastic wrap,used food wrap,General Waste
used sponge,used for cleaning,General Waste
used diaper,used disposable diaper,General Waste
styrofoam cup,from beverage,General Waste
plastic wrap,used food wrap,General Waste
ceramic plate,broken dish at home,General Waste
chip bag,aluminum lining inside,General Waste
used tissue paper,soiled after use at home,General Waste
used styrofoam cup,from beverage at home,General Waste
rubber glove,used during cleaning at home,General Waste
used ceramic plate,broken dish,General Waste
ceramic plate,broken dish,General Waste
sponge,used for cleaning,General Waste
styrofoam cup,from beverage,General Waste
used cotton swab,used in cleaning,General Waste
used ceramic plate,broken dish,General Waste
tissue paper,soiled after use,General Waste
diaper,used disposable diaper at home,General Waste
cotton swab,used in cleaning,General Waste
cotton swab,used in cleaning,General Waste
chip bag,aluminum lining inside,General Waste
used broken toy,plastic item not working,General Waste
rubber glove,used during cleaning at home,General Waste
sponge,used for cleaning,General Waste
used styrofoam cup,from beverage at home,General Waste
ceramic plate,broken dish,General Waste
used sponge,used for cleaning,General Waste
used plastic wrap,used food wrap at home,General Waste
rubber glove,used during cleaning,General Waste
styrofoam cup,from beverage,General Waste
styrofoam cup,from beverage at home,General Waste
used diaper,used disposable diaper,General Waste
styrofoam cup,from beverage,General Waste
diaper,used disposable diaper at home,General Waste
used styrofoam cup,from beverage,General Waste
broken toy,plastic item not working,General Waste
sponge,used for cleaning,General Waste
cotton swab,used in cleaning,General Waste
used styrofoam cup,from beverage,General Waste
used tissue paper,soiled after use at home,General Waste
tissue paper,soiled after use at home,General Waste
styrofoam cup,from beverage at home,General Waste
used tissue paper,soiled after use,General Waste
rubber glove,used during cleaning,General Waste
plastic wrap,used food wrap at home,General Waste
rubber glove,used during cleaning,General Waste
ceramic plate,broken dish,General Waste
used plastic wrap,used food wrap,General Waste
used chip bag,aluminum lining inside,General Waste
styrofoam cup,from beverage at home,General Waste
diaper,used disposable diaper,General Waste
cotton swab,used in cleaning,General Waste
styrofoam cup,from beverage at home,General Waste
broken toy,plastic item not working,General Waste
broken toy,plastic item not working,General Waste
used broken toy,plastic item not working,General Waste
sponge,used for cleaning at home,General Waste
sponge,used for cleaning,General Waste
styrofoam cup,from beverage,General Waste
sponge,used for cleaning,General Waste
used plastic wrap,used food wrap,General Waste
used sponge,used for cleaning at home,General Waste
styrofoam cup,from beverage at home,General Waste
plastic wrap,used food wrap,General Waste
used styrofoam cup,from beverage,General Waste
used ceramic plate,broken dish at home,General Waste
used rubber glove,used during cleaning at home,General Waste
used ceramic plate,broken dish,General Waste
chip bag,aluminum lining inside,General Waste
cotton swab,used in cleaning,General Waste
cotton swab,used in cleaning,General Waste
used chip bag,aluminum lining inside,General Waste
tissue paper,soiled after use at home,General Waste
broken toy,plastic item not working at home,General Waste
used plastic wrap,used food wrap,General Waste
used styrofoam cup,from beverage,General Waste
used ceramic plate,broken dish at home,General Waste
used ceramic plate,broken dish,General Waste
used tissue paper,soiled after use,General Waste
ceramic plate,broken dish at home,General Waste
used broken toy,plastic item not working,General Waste
used broken toy,plastic item not working,General Waste
ceramic plate,broken dish,General Waste
chip bag,aluminum lining inside,General Waste
cotton swab,used in cleaning at home,General Waste
diaper,used disposable diaper,General Waste
used rubber glove,used during cleaning,General Waste
cotton swab,used in cleaning,General Waste
styrofoam cup,from beverage at home,General Waste
ceramic plate,broken dish,General Waste
tissue paper,soiled after use,General Waste
broken toy,plastic item not working,General Waste
chip bag,aluminum lining inside,General Waste
used chip bag,aluminum lining inside at home,General Waste
styrofoam cup,from beverage at home,General Waste
plastic wrap,used food wrap,General Waste
used styrofoam cup,from beverage at home,General Waste
used diaper,used disposable diaper,General Waste
chip bag,aluminum lining inside,General Waste
plastic wrap,used food wrap,General Waste
ceramic plate,broken dish at home,General Waste
diaper,used disposable diaper,General Waste
plastic wrap,used food wrap at home,General Waste
styrofoam cup,from beverage,General Waste
used cotton swab,used in cleaning,General Waste
tissue paper,soiled after use at home,General Waste
used broken toy,plastic item not working,General Waste
sponge,used for cleaning at home,General Waste
used broken toy,plastic item not working at home,General Waste
used broken toy,plastic item not working,General Waste
used cotton swab,used in cleaning,General Waste
used ceramic plate,broken dish,General Waste
ceramic plate,broken dish,General Waste
sponge,used for cleaning,General Waste
diaper,used disposable diaper at home,General Waste
broken toy,plastic item not working,General Waste
tissue paper,soiled after use,General Waste
chip bag,aluminum lining inside at home,General Waste
used cotton swab,used in cleaning,General Waste
rubber glove,used during cleaning at home,General Waste
used diaper,used disposable diaper,General Waste
ceramic plate,broken dish,General Waste
chip bag,aluminum lining inside,General Waste
chip bag,aluminum lining inside,General Waste
rubber glove,used during cleaning,General Waste
broken toy,plastic item not working,General Waste
cotton swab,used in cleaning,General Waste
plastic wrap,used food wrap,General Waste
tissue paper,soiled after use,General Waste
used plastic wrap,used food wrap,General Waste
sponge,used for cleaning,General Waste
tissue paper,soiled after use,General Waste
used plastic wrap,used food wrap at home,General Waste
used sponge,used for cleaning,General Waste
used rubber glove,used during cleaning at home,General Waste
ceramic plate,broken dish,General Waste
styrofoam cup,from beverage at home,General Waste
plastic wrap,used food wrap,General Waste
sponge,used for cleaning,General Waste
plastic wrap,used food wrap,General Waste
styrofoam cup,from beverage at home,General Waste
rubber glove,used during cleaning,General Waste
styrofoam cup,from beverage at home,General Waste
cotton swab,used in cleaning,General Waste
used chip bag,aluminum lining inside at home,General Waste
used chip bag,aluminum lining inside,General Waste
chip bag,aluminum lining inside,General Waste
styrofoam cup,from beverage at home,General Waste
chip bag,aluminum lining inside,General Waste
used broken toy,plastic item not working at home,General Waste
used plastic wrap,used food wrap,General Waste
plastic wrap,used food wrap,General Waste
used diaper,used disposable diaper,General Waste
rubber glove,used during cleaning,General Waste
chip bag,aluminum lining inside,General Waste
sponge,used for cleaning,General Waste
ceramic plate,broken dish at home,General Waste
chip bag,aluminum lining inside,General Waste
used diaper,used disposable diaper,General Waste
diaper,used disposable diaper,General Waste
chip bag,aluminum lining inside,General Waste
used ceramic plate,broken dish,General Waste
ceramic plate,broken dish,General Waste
broken toy,plastic item not working,General Waste
used rubber glove,used during cleaning,General Waste
used styrofoam cup,from beverage,General Waste
used sponge,used for cleaning,General Waste
used broken toy,plastic item not working,General Waste
used ceramic plate,broken dish,General Waste
used broken toy,plastic item not working,General Waste
plastic wrap,used food wrap at home,General Waste
tissue paper,soiled after use,General Waste
sponge,used for cleaning at home,General Waste
diaper,used disposable diaper at home,General Waste
tissue paper,soiled after use,General Waste
rubber glove,used during cleaning,General Waste
diaper,used disposable diaper,General Waste
used tissue paper,soiled after use at home,General Waste
tissue paper,soiled after use,General Waste
ceramic plate,broken dish,General Waste
rubber glove,used during cleaning,General Waste
used cotton swab,used in cleaning at home,General Waste
styrofoam cup,from beverage,General Waste
rubber glove,used during cleaning at home,General Waste
tissue paper,soiled after use,General Waste
sponge,used for cleaning at home,General Waste
rubber glove,used during cleaning,General Waste
used broken toy,plastic item not working at home,General Waste
plastic wrap,used food wrap at home,General Waste
used diaper,used disposable diaper at home,General Waste
used diaper,used disposable diaper,General Waste
cotton swab,used in cleaning,General Waste
styrofoam cup,from beverage at home,General Waste
broken toy,plastic item not working at home,General Waste
rubber glove,used during cleaning,General Waste
used tissue paper,soiled after use,General Waste
cotton swab,used in cleaning,General Waste
diaper,used disposable diaper,General Waste
used broken toy,plastic item not working at home,General Waste
styrofoam cup,from beverage,General Waste
tissue paper,soiled after use,General Waste
used broken toy,plastic item not working,General Waste
used broken toy,plastic item not working,General Waste
broken toy,plastic item not working,General Waste
used broken toy,plastic item not working,General Waste
used broken toy,plastic item not working,General Waste
cotton swab,used in cleaning,General Waste
broken toy,plastic item not working,General Waste
plastic wrap,used food wrap,General Waste
used sponge,used for cleaning,General Waste
rubber glove,used during cleaning,General Waste
used plastic wrap,used food wrap,General Waste
chip bag,aluminum lining inside,General Waste
plastic wrap,used food wrap,General Waste
used plastic wrap,used food wrap,General Waste
rubber glove,used during cleaning at home,General Waste
rubber glove,used during cleaning at home,General Waste
used diaper,used disposable diaper at home,General Waste
used rubber glove,used during cleaning at home,General Waste
used ceramic plate,broken dish,General Waste
tissue paper,soiled after use,General Waste
styrofoam cup,from beverage,General Waste
used ceramic plate,broken dish,General Waste
used rubber glove,used during cleaning,General Waste
used plastic wrap,used food wrap,General Waste
chip bag,aluminum lining inside,General Waste
used rubber glove,used during cleaning,General Waste
styrofoam cup,from beverage,General Waste
used cotton swab,used in cleaning,General Waste
styrofoam cup,from beverage,General Waste
diaper,used disposable diaper at home,General Waste
broken toy,plastic item not working,General Waste
used styrofoam cup,from beverage,General Waste
sponge,used for cleaning,General Waste
used sponge,used for cleaning,General Waste
diaper,used disposable diaper,General Waste
ceramic plate,broken dish at home,General Waste
styrofoam cup,from beverage,General Waste
cotton swab,used in cleaning at home,General Waste
sponge,used for cleaning at home,General Waste
rubber glove,used during cleaning at home,General Waste
ceramic plate,broken dish,General Waste
used plastic wrap,used food wrap,General Waste
used cotton swab,used in cleaning at home,General Waste
sponge,used for cleaning,General Waste
plastic wrap,used food wrap,General Waste
plastic wrap,used food wrap,General Waste
used rubber glove,used during cleaning at home,General Waste
rubber glove,used during cleaning,General Waste
rubber glove,used during cleaning,General Waste
broken toy,plastic item not working at home,General Waste
used styrofoam cup,from beverage at home,General Waste
cotton swab,used in cleaning,General Waste
diaper,used disposable diaper at home,General Waste
chip bag,aluminum lining inside,General Waste
broken toy,plastic item not working at home,General Waste
sponge,used for cleaning,General Waste
used ceramic plate,broken dish,General Waste
tissue paper,soiled after use,General Waste
used plastic wrap,used food wrap,General Waste
used plastic wrap,used food wrap,General Waste
plastic wrap,used food wrap at home,General Waste
used plastic wrap,used food wrap at home,General Waste
tissue paper,soiled after use,General Waste
styrofoam cup,from beverage at home,General Waste
chip bag,aluminum lining inside,General Waste
used cotton swab,used in cleaning,General Waste
ceramic plate,broken dish,General Waste
used chip bag,aluminum lining inside,General Waste
rubber glove,used during cleaning,General Waste
tissue paper,soiled after use,General Waste
sponge,used for cleaning,General Waste
plastic wrap,used food wrap,General Waste
cotton swab,used in cleaning,General Waste
used styrofoam cup,from beverage at home,General Waste
used plastic wrap,used food wrap,General Waste
used chip bag,aluminum lining inside at home,General Waste
styrofoam cup,from beverage,General Waste
rubber glove,used during cleaning at home,General Waste
plastic wrap,used food wrap at home,General Waste
diaper,used disposable diaper,General Waste
cotton swab,used in cleaning at home,General Waste
used chip bag,aluminum lining inside,General Waste
used styrofoam cup,from beverage,General Waste
plastic wrap,used food wrap,General Waste
chip bag,aluminum lining inside,General Waste
used cotton swab,used in cleaning,General Waste
diaper,used disposable diaper,General Waste
ceramic plate,broken dish at home,General Waste
cotton swab,used in cleaning at home,General Waste
used broken toy,plastic item not working,General Waste
